date,prices,market_caps,total_volumes,id,symbol,open,high,low,close
2017-10-18,0.02684535467621909,696021404.3079604,2351678.122306208,cardano,ada,,,,
2017-10-19,0.026829950465728686,695622018.2559936,2815155.9695999967,cardano,ada,0.02684535,0.02684535,0.02682995,0.02682995
2017-10-20,0.030299606216252807,785580027.6424098,8883473.082062634,cardano,ada,,,,
2017-10-21,0.028587962639027336,741202123.8797704,5308856.917095766,cardano,ada,,,,
2017-10-22,0.027796038407662104,720669848.4724126,2901876.1220860113,cardano,ada,,,,
2017-10-23,0.026045125887389137,675273816.053428,3505126.543112243,cardano,ada,0.03029961,0.03029961,0.02604513,0.02604513
2017-10-24,0.02741740303131111,710852942.3615782,7822397.543947947,cardano,ada,,,,
2017-10-25,0.027269301575107045,707013105.4597949,2513886.637623913,cardano,ada,,,,
2017-10-26,0.026591400393809417,689437113.7144977,2369400.241402218,cardano,ada,,,,
2017-10-27,0.026509621493760783,687316826.4044167,2569633.7793355323,cardano,ada,0.0274174,0.0274174,0.02650962,0.02650962
2017-10-28,0.025976412766541904,673492286.1223357,1729975.2725138243,cardano,ada,,,,
2017-10-29,0.02835203544137527,735085222.7844126,4636164.255564146,cardano,ada,,,,
2017-10-30,0.028385407497551127,735950462.4388821,3794753.02010408,cardano,ada,,,,
2017-10-31,0.03025109529644789,784322281.6027644,7251416.950220154,cardano,ada,0.02597641,0.0302511,0.02597641,0.0302511
2017-11-01,0.023096036249201986,598812560.9812648,7901021.254424323,cardano,ada,,,,
2017-11-02,0.021320577458857376,552780115.686688,5955251.345757528,cardano,ada,,,,
2017-11-03,0.022789425903364136,590863052.9170463,3029089.7359041288,cardano,ada,0.02309604,0.02309604,0.02132058,0.02278943
2017-11-04,0.021802078918245652,565264037.9883977,2455852.8375674905,cardano,ada,,,,
2017-11-05,0.022026315814418173,571077843.8126849,2245833.516085977,cardano,ada,,,,
2017-11-06,0.022303564694850217,578266095.092228,4843621.340865689,cardano,ada,,,,
2017-11-07,0.022288565665913324,577877214.2109797,2527154.86620952,cardano,ada,0.02180208,0.02230356,0.02180208,0.02228857
2017-11-08,0.025146348345649026,651971147.3307619,6534368.134450486,cardano,ada,,,,
2017-11-09,0.03276949505442782,849617009.7707922,20628139.78678138,cardano,ada,,,,
2017-11-10,0.02729304274337792,707628644.4042084,6563683.784283738,cardano,ada,,,,
2017-11-11,0.027498518721010355,712956034.570149,5632137.891194862,cardano,ada,0.02514635,0.0327695,0.02514635,0.02749852
2017-11-12,0.024521650906143423,635774572.7517922,7550744.664248699,cardano,ada,,,,
2017-11-13,0.025114287383622588,651139900.5067863,4284485.972081597,cardano,ada,,,,
2017-11-14,0.0262283052840494,680023121.191746,3183479.97319462,cardano,ada,,,,
2017-11-15,0.02601455327855,674481157.867525,6362414.67189926,cardano,ada,0.02452165,0.02622831,0.02452165,0.02601455
2017-11-16,0.0271062720187573,702786226.652537,4825255.352786,cardano,ada,,,,
2017-11-17,0.0259167531670733,671945487.478645,3514321.2781959,cardano,ada,,,,
2017-11-18,0.0265277202424606,687786073.938608,2984199.94886132,cardano,ada,,,,
2017-11-19,0.0277212109355903,718729791.325827,4652800.37716365,cardano,ada,0.02710627,0.02772121,0.02591675,0.02772121
2017-11-20,0.0300027359042463,777883050.122379,15546079.3945352,cardano,ada,,,,
2017-11-21,0.0285982155306659,741467951.324501,5910630.57601447,cardano,ada,,,,
2017-11-22,0.0287315492166677,744924903.206561,4912298.82371421,cardano,ada,,,,
2017-11-23,0.0279406665612257,724419632.811637,5222693.56006724,cardano,ada,0.03000274,0.03000274,0.02794067,0.02794067
2017-11-24,0.0285119374458932,739231013.334716,5653201.55570934,cardano,ada,,,,
2017-11-25,0.0306147875989473,793751757.583795,6199363.76514505,cardano,ada,,,,
2017-11-26,0.0385478736298579,999433438.691236,30963775.9962897,cardano,ada,,,,
2017-11-27,0.0504690379751281,1308514307.56615,81568060.7251049,cardano,ada,0.02851194,0.050469,0.02851194,0.050469
2017-11-28,0.120725683497858,3130063311.79723,341785540.016436,cardano,ada,,,,
2017-11-29,0.0926358698508062,2401776731.97084,170782434.03361,cardano,ada,,,,
2017-11-30,0.124064710988949,3216634513.08707,123583686.659491,cardano,ada,0.120726,0.124065,0.092636,0.124065
2017-12-01,0.130849110282103,3392534112.11863,54354032.9357827,cardano,ada,,,,
2017-12-02,0.135290045772832,3507674559.84146,42520482.6866604,cardano,ada,,,,
2017-12-03,0.131928545432995,3420520703.41699,33634685.3082435,cardano,ada,0.130849,0.13529,0.130849,0.131929
2017-12-04,0.136318229854403,3534332361.0504,73582496.3415025,cardano,ada,,,,
2017-12-05,0.131266070674367,3403344673.62041,50109378.7410912,cardano,ada,,,,
2017-12-06,0.128998005781454,3344540395.15708,71389916.560964,cardano,ada,,,,
2017-12-07,0.113499775677648,2942716690.04155,63143994.7068038,cardano,ada,0.136318,0.136318,0.1135,0.1135
2017-12-08,0.119771110477752,3105314029.77127,72541326.961392,cardano,ada,,,,
2017-12-09,0.122069680246509,3164909210.30234,63562094.4422698,cardano,ada,,,,
2017-12-10,0.110753179803104,2871505505.06286,44638620.0146595,cardano,ada,,,,
2017-12-11,0.120168304834103,3115612115.86568,39074223.8449904,cardano,ada,0.119771,0.12207,0.110753,0.120168
2017-12-12,0.133573902305472,3463179987.1099,62282284.1916909,cardano,ada,,,,
2017-12-13,0.134376501748155,3483989039.4741,62897525.7246977,cardano,ada,,,,
2017-12-14,0.217011359286374,5626468819.76509,237044480.930081,cardano,ada,,,,
2017-12-15,0.217634409481701,5642622686.12803,213587305.957,cardano,ada,0.133574,0.217634,0.133574,0.217634
2017-12-16,0.408204448101932,10583545519.8641,669971136.228786,cardano,ada,,,,
2017-12-17,0.475589482657346,12330642063.9879,590821285.865066,cardano,ada,,,,
2017-12-18,0.506894865185778,13142298925.0217,227825786.869163,cardano,ada,,,,
2017-12-19,0.547831246289424,14203659365.4663,275998423.608346,cardano,ada,0.408204,0.547831,0.408204,0.547831
2017-12-20,0.492296744072274,12763812409.1896,184667810.643851,cardano,ada,,,,
