date,prices,market_caps,total_volumes,id,symbol,open,high,low,close
2021-01-05,1.75089148322007,5193325.774885025,12582828.723461315,lido-dao,ldo,,,,
2021-01-06,1.75089148322007,5193325.774885025,12582828.723461315,lido-dao,ldo,,,,
2021-01-07,1.760410764195416,5667691.609360571,6423586.093912635,lido-dao,ldo,1.75,1.76,1.75,1.76
2021-01-08,1.4268089462876623,4586996.157827637,2079384.121384696,lido-dao,ldo,,,,
2021-01-09,1.4954029529966588,4803312.257938731,1086874.8490877978,lido-dao,ldo,,,,
2021-01-10,0.8449578022117108,2728719.816341152,1119290.0976459014,lido-dao,ldo,,,,
2021-01-11,0.995485091648004,3216775.302110387,566395.6703483281,lido-dao,ldo,1.43,1.5,0.844958,0.995485
2021-01-12,0.8931611137747189,2865817.823184506,159321.0071216152,lido-dao,ldo,,,,
2021-01-13,0.8301781766246654,2659361.2625465486,161473.64724186447,lido-dao,ldo,,,,
2021-01-14,1.0553663466719931,3367904.432519941,313532.6102690141,lido-dao,ldo,,,,
2021-01-15,1.0768876729111154,3418068.7848715847,596906.0317340387,lido-dao,ldo,0.893161,1.077,0.830178,1.077
2021-01-16,0.9534565988748788,3061676.4003600613,128644.3747470737,lido-dao,ldo,,,,
2021-01-17,0.883514836213585,2855813.41881406,172983.08504657654,lido-dao,ldo,,,,
2021-01-18,0.7758471836119105,6889235.632986919,145481.87613947096,lido-dao,ldo,,,,
2021-01-19,0.7911409302806837,6954148.213200837,307001.0958724403,lido-dao,ldo,0.953457,0.953457,0.775847,0.791141
2021-01-20,0.8712443792667584,7679713.0220706,206887.86212155572,lido-dao,ldo,,,,
2021-01-21,0.7817382190424823,6914900.994510031,171677.64718389115,lido-dao,ldo,,,,
2021-01-22,0.6130627574719494,5492554.314058194,142237.16586283132,lido-dao,ldo,,,,
2021-01-23,0.6333900167603377,5591096.061756206,134417.25562757792,lido-dao,ldo,0.871244,0.871244,0.613063,0.63339
2021-01-24,0.7741540728322476,6848073.871231097,895644.9456444817,lido-dao,ldo,,,,
