date,prices,market_caps,total_volumes,id,symbol,open,high,low,close
2017-12-20,1089.36710826119,0.0,549285.04079589,maker,mkr,,,,
2017-12-21,1514.26003115432,0.0,1620.25823333512,maker,mkr,,,,
2017-12-22,873.829215655813,0.0,34285.5631054715,maker,mkr,,,,
2017-12-23,1042.82086461945,0.0,199742.109291662,maker,mkr,1089.37,1514.26,873.83,1042.82
2017-12-24,1240.92627853925,0.0,71416.7986868368,maker,mkr,,,,
2017-12-25,1581.32764335045,0.0,86988.4267093763,maker,mkr,,,,
2017-12-26,1225.30416072998,0.0,279901.099817011,maker,mkr,,,,
2017-12-27,1148.85741564924,0.0,167952.432364894,maker,mkr,1240.93,1581.33,1148.86,1148.86
2017-12-28,1073.7514622109,0.0,49628.4013124945,maker,mkr,,,,
2017-12-29,1079.05724785456,0.0,26107.2787195864,maker,mkr,,,,
2017-12-30,1017.07005329947,0.0,10338.6330802043,maker,mkr,,,,
2017-12-31,1009.35899719892,0.0,173467.202362066,maker,mkr,1073.75,1079.06,1009.36,1009.36
2018-01-01,1090.00686388653,0.0,18622.7121071423,maker,mkr,,,,
2018-01-02,1117.46112055627,0.0,33154.551219294,maker,mkr,,,,
2018-01-03,1152.9711252514403,0.0,17872.05451293988,maker,mkr,1090.01,1152.97,1090.01,1152.97
2018-01-04,1021.2134904961083,0.0,46253.92566175491,maker,mkr,,,,
2018-01-05,1125.1693672113006,0.0,39697.87527176375,maker,mkr,,,,
2018-01-06,1368.3534054385113,0.0,14825.568004478564,maker,mkr,,,,
2018-01-07,1466.645856011889,0.0,57340.33738997822,maker,mkr,1021.21,1466.65,1021.21,1466.65
2018-01-08,1376.0701512548856,0.0,93388.61251221401,maker,mkr,,,,
2018-01-09,1500.6861184529948,0.0,119310.05920726921,maker,mkr,,,,
2018-01-10,1136.1938351196568,0.0,111762.8530987674,maker,mkr,,,,
2018-01-11,1301.3224060538419,0.0,39800.52339276354,maker,mkr,1376.07,1500.69,1136.19,1301.32
2018-01-12,1408.7445306002385,0.0,31655.094726981457,maker,mkr,,,,
2018-01-13,1640.9677514792957,0.0,92908.31568415379,maker,mkr,,,,
2018-01-14,1464.618604974816,0.0,57847.74278155071,maker,mkr,,,,
2018-01-15,1218.746545143824,0.0,42534.04400557004,maker,mkr,1408.74,1640.97,1218.75,1218.75
2018-01-16,1126.0845404966565,0.0,123674.68271187559,maker,mkr,,,,
2018-01-17,1108.2029352950472,685122084.2815865,39273.95217585306,maker,mkr,,,,
2018-01-18,1559.9881116401477,964428330.2830653,290680.18472376565,maker,mkr,,,,
2018-01-19,1560.428360345593,964700504.3597354,107699.35898493671,maker,mkr,1126.08,1560.43,1108.2,1560.43
2018-01-20,1798.7046133748158,1112009555.7174857,87888.34771860632,maker,mkr,,,,
2018-01-21,1627.1574387337373,1005954289.0334809,95265.26206507154,maker,mkr,,,,
2018-01-22,1561.1736518331195,965161264.4254858,87563.54156037694,maker,mkr,,,,
2018-01-23,1557.3889233463376,962821439.3025596,197845.54333991188,maker,mkr,1798.7,1798.7,1557.39,1557.39
2018-01-24,1589.3745244188422,982595833.482412,30553.270778377544,maker,mkr,,,,
2018-01-25,1486.2758872432223,918857369.2186028,35151.397168789386,maker,mkr,,,,
2018-01-26,1480.7689158230578,915452805.2914573,16124.269138877846,maker,mkr,,,,
2018-01-27,1404.8949461470088,868545392.7665731,16990.48462281466,maker,mkr,1589.37,1589.37,1404.89,1404.89
2018-01-28,1494.3249126029318,923833502.0686853,125378.61027308136,maker,mkr,,,,
2018-01-29,1432.8769091850154,885844625.8116336,18221.312838763195,maker,mkr,,,,
2018-01-30,1429.383773894245,883685071.7670914,18182.6484243204,maker,mkr,,,,
2018-01-31,1323.1264334339946,817993808.6890316,38039.48846443333,maker,mkr,1494.32,1494.32,1323.13,1323.13
2018-02-01,1353.8940597946664,837015216.7987369,14352.538565753885,maker,mkr,,,,
2018-02-02,1252.205643253163,774148590.4171165,26865.258428224897,maker,mkr,,,,
2018-02-03,1155.2785567706258,714225551.5951904,210577.84435290843,maker,mkr,1353.89,1353.89,1155.28,1155.28
2018-02-04,1167.8387523231188,721990616.1712171,10014.95355379216,maker,mkr,,,,
2018-02-05,1073.6581850464838,663765552.4249177,17132.13908566267,maker,mkr,,,,
2018-02-06,764.1315016144791,472407489.9801162,15972.96870157365,maker,mkr,,,,
2018-02-07,895.1695074789933,553418854.269723,35968.152041862624,maker,mkr,1167.84,1167.84,764.13,895.17
2018-02-08,925.3252182152464,572061959.0067754,27475.91106993734,maker,mkr,,,,
2018-02-09,997.9235645752053,616944289.4802,9185.831504614098,maker,mkr,,,,
2018-02-10,1091.628667140452,674875407.6289074,26352.691283026263,maker,mkr,,,,
2018-02-11,1056.1064663603543,652914588.4850291,5371.416804804246,maker,mkr,925.33,1091.63,925.33,1056.11
2018-02-12,1005.9560722727498,621910210.6490376,6175.357693533437,maker,mkr,,,,
2018-02-13,1050.989599805277,649751198.3084168,9655.11738402933,maker,mkr,,,,
2018-02-14,1030.1369322488965,636859495.3503708,1390.488916521382,maker,mkr,,,,
2018-02-15,1098.041524899023,678840015.8552732,8222.45475898553,maker,mkr,1005.96,1098.04,1005.96,1098.04
2018-02-16,1164.190952550789,719735444.2135693,7282.568361334384,maker,mkr,,,,
2018-02-17,1158.3483498004293,716123383.6004199,22279.002321288466,maker,mkr,,,,
2018-02-18,1141.7106982691848,705837521.5695616,10650.857736522677,maker,mkr,,,,
2018-02-19,1083.7855770227786,670026589.7116383,47775.29216656662,maker,mkr,1164.19,1164.19,1083.79,1083.79
2018-02-20,1129.200293591923,698103239.1067473,22204.775221069965,maker,mkr,,,,
2018-02-21,1081.5284781528608,668631187.9914869,21899.21190018485,maker,mkr,,,,
2018-02-22,963.4497051742961,595631584.3304948,19100.614603196245,maker,mkr,,,,
2018-02-23,964.8077341695846,596471155.880194,19124.802960911948,maker,mkr,1129.2,1129.2,963.45,964.81
2018-02-24,995.0070267865774,615141204.1562122,1617.0937310298598,maker,mkr,,,,
2018-02-25,981.0285034574989,606499289.6355226,37012.72659285849,maker,mkr,,,,
2018-02-26,1021.2723269885873,631379148.1695004,9628.36122774669,maker,mkr,,,,
2018-02-27,1023.7569874182283,632915234.8175964,2644.292173502054,maker,mkr,995.01,1023.76,981.03,1023.76
2018-02-28,1043.0338942853432,644832758.3962392,338.4791376462465,maker,mkr,1043.03,1059.9,1020.17,1020.17
2018-03-01,1059.9020658844343,655261134.387602,9198.49006064582,maker,mkr,,,,
2018-03-02,1034.231355934124,639390782.7164415,470208.3603145443,maker,mkr,,,,
2018-03-03,1020.1714465435233,630698553.0537094,437495.02620859933,maker,mkr,,,,
2018-03-04,1016.9502802439016,628707137.8546268,364479.6391151956,maker,mkr,,,,
2018-03-05,959.9161459733938,593447039.0928392,292109.8873180609,maker,mkr,,,,
2018-03-06,963.4857435525091,595653864.2649806,427779.2893678547,maker,mkr,,,,
2018-03-07,959.9349035520502,593458635.5531769,230547.92677542675,maker,mkr,1016.95,1016.95,959.92,959.93
2018-03-08,855.9506088789126,529172633.0259924,356582.641427792,maker,mkr,,,,
2018-03-09,841.6183803055607,520312048.01954615,230045.89829180954,maker,mkr,,,,
2018-03-10,825.2571461663724,510197074.9601441,274714.6192646103,maker,mkr,,,,
2018-03-11,798.1063016072397,493411662.63004065,1326072.428800438,maker,mkr,855.95,855.95,798.11,798.11
2018-03-12,833.2291737074358,515125605.6028006,776625.4453843635,maker,mkr,,,,
2018-03-13,814.7533508680959,503703334.6004812,825316.2703233077,maker,mkr,,,,
2018-03-14,811.4132648249076,501638399.886173,515747.31957221293,maker,mkr,,,,
2018-03-15,748.1303804457198,462515148.8421964,522345.3295856827,maker,mkr,833.23,833.23,748.13,748.13
2018-03-16,737.2398058573032,455782290.69554883,524701.414609253,maker,mkr,,,,
2018-03-17,727.5175372672882,449771712.029681,570211.3417445961,maker,mkr,,,,
2018-03-18,672.7443757977361,415909409.9606828,106180.85786253063,maker,mkr,,,,
2018-03-19,674.4644781829329,416972825.4180783,383357.7955502416,maker,mkr,737.24,737.24,672.74,674.46
