date,prices,market_caps,total_volumes,id,symbol,open,high,low,close
2017-11-09,0.0023868224612059903,156404161.61769113,1224287.1701759468,tron,trx,,,,
2017-11-10,0.0020444407393174656,133968506.2492818,990422.8194999617,tron,trx,,,,
2017-11-11,0.0019147582843986697,125470649.38402924,707642.9643405275,tron,trx,0.00238682,0.00238682,0.00191476,0.00191476
2017-11-12,0.0018043416345783466,118235245.90326259,814789.232402891,tron,trx,,,,
2017-11-13,0.0020176800199983237,132386427.48493508,894985.5678109237,tron,trx,,,,
2017-11-14,0.0024153601045655,158479487.413139,1073924.14464444,tron,trx,,,,
2017-11-15,0.00232030016078447,152242301.026122,1179822.35257729,tron,trx,0.00180434,0.00241536,0.00180434,0.0023203
2017-11-16,0.00224758147932484,147470996.18371,1324833.20109975,tron,trx,,,,
2017-11-17,0.00202291008373067,132729588.66321,1905625.2295888,tron,trx,,,,
2017-11-18,0.00202236549981172,132693856.773722,2184964.12424888,tron,trx,,,,
2017-11-19,0.0019852680720025,130259776.10292,1832646.81839489,tron,trx,0.00224758,0.00224758,0.00198527,0.00198527
2017-11-20,0.00213324414257963,139968958.501911,1679383.57714952,tron,trx,,,,
2017-11-21,0.00212956832826169,139727776.589602,1420954.84638254,tron,trx,,,,
2017-11-22,0.00233308344610262,153081053.186036,1345920.56312006,tron,trx,,,,
2017-11-23,0.00213762296956841,140256267.319897,3417832.23017086,tron,trx,0.00213324,0.00233308,0.00212957,0.00213762
2017-11-24,0.00207102679607914,135886679.771313,3239315.25444964,tron,trx,,,,
2017-11-25,0.00201463762932339,132186806.520027,3671891.51887357,tron,trx,,,,
2017-11-26,0.00211400396485046,138886239.354519,5253948.62423723,tron,trx,,,,
2017-11-27,0.00208965933011546,137391323.843611,5447503.32653088,tron,trx,0.00207103,0.002114,0.00201464,0.00208966
2017-11-28,0.00239251994364041,157303861.754746,5378421.52819489,tron,trx,,,,
2017-11-29,0.00205371567817567,135028093.697619,5544747.84531279,tron,trx,,,,
2017-11-30,0.00231126742281716,151961655.37658,3050584.80293603,tron,trx,0.00239252,0.00239252,0.00205372,0.00231127
2017-12-01,0.00214091310437674,140761166.858812,4702198.48548487,tron,trx,,,,
2017-12-02,0.00211868760130369,139299880.204911,4503131.91222867,tron,trx,,,,
2017-12-03,0.00209970595645613,138051871.365982,5437976.41784144,tron,trx,0.00214091,0.00214091,0.00209971,0.00209971
2017-12-04,0.00215278061595713,141541434.294398,8662135.50283184,tron,trx,,,,
2017-12-05,0.00213705734828711,140507657.865294,7906227.90146748,tron,trx,,,,
2017-12-06,0.00382354753637125,251391339.358649,16493.0483304424,tron,trx,,,,
2017-12-07,0.00392728194712116,258211689.362915,29058706.2020901,tron,trx,0.00215278,0.00392728,0.00213706,0.00392728
2017-12-08,0.00424307801985026,278974710.335557,11196823.6116716,tron,trx,,,,
2017-12-09,0.00440660167872202,289726095.333273,9671290.16703499,tron,trx,,,,
2017-12-10,0.00433149185420187,284787760.133959,9169891.35304873,tron,trx,,,,
2017-12-11,0.00513614997247419,337692576.970699,10857313.173528,tron,trx,0.00424308,0.00513615,0.00424308,0.00513615
2017-12-12,0.00753660415196127,495518100.391034,27517250.1554016,tron,trx,,,,
2017-12-13,0.0154898457346668,1018429358.77093,102445084.447474,tron,trx,,,,
2017-12-14,0.0169942681141392,1117342410.94018,132447135.720041,tron,trx,,,,
2017-12-15,0.017619540606115,1158452947.09193,88750291.767574,tron,trx,0.0075366,0.01761954,0.0075366,0.01761954
2017-12-16,0.036781867275272,2418341289.20449,353192316.756497,tron,trx,,,,
2017-12-17,0.0341966186829019,2248365867.15762,183470502.642581,tron,trx,,,,
2017-12-18,0.039992128127492,2629410137.61121,174403915.86491,tron,trx,,,,
2017-12-19,0.0434546496853134,2857064671.44368,127705005.763451,tron,trx,0.03678187,0.04345465,0.03419662,0.04345465
2017-12-20,0.0496841375056056,3266642235.67293,243752660.538473,tron,trx,,,,
2017-12-21,0.0471933078996138,3102874691.31574,450951569.822735,tron,trx,,,,
2017-12-22,0.0356090035427112,2341227618.76913,263089969.203049,tron,trx,,,,
2017-12-23,0.0511145237776011,3360687547.59768,332400866.263498,tron,trx,0.04968414,0.051115,0.035609,0.051115
2017-12-24,0.0375590534648345,2469439876.38476,226673039.536318,tron,trx,,,,
2017-12-25,0.0322068775245591,2117543982.50347,128577344.585411,tron,trx,,,,
2017-12-26,0.038447670182638,2527864819.3834,177913633.415671,tron,trx,,,,
2017-12-27,0.0373240517645088,2453988939.35979,147613938.056823,tron,trx,0.03755905,0.03844767,0.03220688,0.03732405
2017-12-28,0.0419151006934076,2755842107.99917,183933415.604636,tron,trx,,,,
2017-12-29,0.0368507724960489,2422871682.92266,209966222.620066,tron,trx,,,,
2017-12-30,0.0384059262535727,2525120231.50055,226097108.487701,tron,trx,,,,
2017-12-31,0.0465589544177895,3061167096.49557,326114315.176257,tron,trx,0.0419151,0.04655895,0.03685077,0.04655895
2018-01-01,0.0516540472349516,3396160239.71634,437407541.337463,tron,trx,,,,
2018-01-02,0.0808930764019199,5318573557.16831,1484796785.37526,tron,trx,,,,
2018-01-03,0.09810683152172969,6450346842.00308,1035141622.348886,tron,trx,0.051654,0.098107,0.051654,0.098107
2018-01-04,0.21813896209702388,14342242466.251856,3915550001.347465,tron,trx,,,,
2018-01-05,0.23167275596197776,15232064950.201818,3738421738.2625484,tron,trx,,,,
2018-01-06,0.17928748936361966,11787828359.03878,2292851346.6642747,tron,trx,,,,
2018-01-07,0.19978596066784834,13135565795.792473,1648243398.4014401,tron,trx,0.218139,0.231673,0.179287,0.199786
2018-01-08,0.15690548165161397,10316251808.012896,1406087829.2421513,tron,trx,,,,
2018-01-09,0.13269400951985694,8724391278.191036,1183955759.8008099,tron,trx,,,,
2018-01-10,0.13426456800506337,8827652659.769632,1544277292.2625835,tron,trx,,,,
2018-01-11,0.11417243181734481,7506631022.4656,893878819.6094507,tron,trx,0.156905,0.156905,0.114172,0.114172
2018-01-12,0.11596416170985852,7624434024.301804,579869769.6953688,tron,trx,,,,
2018-01-13,0.10914446791001396,7176051483.729059,733968478.983531,tron,trx,,,,
2018-01-14,0.08925850998755465,5868585694.693454,619598484.3891735,tron,trx,,,,
2018-01-15,0.08046854144691835,5290661151.234503,924955385.9055698,tron,trx,0.115964,0.115964,0.080469,0.080469
2018-01-16,0.05513937251422896,3625314077.01625,536117811.546999,tron,trx,,,,
2018-01-17,0.07734211153937443,5085104035.913708,1130206042.7519546,tron,trx,,,,
2018-01-18,0.08476283421245935,5573003138.527293,1172676300.2581897,tron,trx,,,,
2018-01-19,0.08247751635257258,5422747620.008902,626942121.4568021,tron,trx,0.055139,0.084763,0.055139,0.082478
2018-01-20,0.08857148007391785,5823414719.695579,576340854.543749,tron,trx,,,,
2018-01-21,0.07290660327891434,4793477385.080525,394856181.49534625,tron,trx,,,,
2018-01-22,0.07360993173777669,4839719959.966953,494944751.6417088,tron,trx,,,,
2018-01-23,0.06900129660971706,4536710530.520242,337816551.989398,tron,trx,0.088571,0.088571,0.069001,0.069001
2018-01-24,0.07032851946532716,4623973034.288114,430680392.2288616,tron,trx,,,,
2018-01-25,0.06915843703255992,4547042229.286917,296896638.38525045,tron,trx,,,,
2018-01-26,0.06593614894141041,4335182611.660119,266396098.41303337,tron,trx,,,,
2018-01-27,0.06879186689692778,4522940905.453789,235033707.1985266,tron,trx,0.070329,0.070329,0.065936,0.068792
2018-01-28,0.06509433533973356,4279834888.948997,170525854.4194309,tron,trx,,,,
2018-01-29,0.0633302896350999,4163852072.426046,159319598.83226895,tron,trx,,,,
2018-01-30,0.06315782032968759,4152512527.3377676,160224975.95674708,tron,trx,,,,
2018-01-31,0.05345448856691226,3514536002.950034,157554182.79440758,tron,trx,0.065094,0.065094,0.053454,0.053454
2018-02-01,0.05418254771297397,3562404575.818484,152353914.64948863,tron,trx,,,,
2018-02-02,0.04581397771102926,3012186224.5901117,184210499.76045153,tron,trx,,,,
2018-02-03,0.042133592261805096,2770207533.6923323,221441253.0381867,tron,trx,0.054183,0.054183,0.04213359,0.04213359
2018-02-04,0.044714950178816736,2939927150.8668785,164316582.77623305,tron,trx,,,,
2018-02-05,0.0389172266181113,2558737306.280775,105031489.85530601,tron,trx,,,,
2018-02-06,0.02969723027281321,1952539211.9513197,129736114.60463415,tron,trx,,,,
2018-02-07,0.03593104571534715,2362401309.520669,217524804.55405474,tron,trx,0.04471495,0.04471495,0.02969723,0.03593105
2018-02-08,0.03287256436538761,2161311689.0423307,163516283.88489023,tron,trx,,,,
2018-02-09,0.03740354937291113,2459215763.4183264,85573286.94110927,tron,trx,,,,
2018-02-10,0.04636652027172211,3048514899.2211747,262467300.16988897,tron,trx,,,,
2018-02-11,0.048144670132188795,3165425038.4965324,374516736.7348964,tron,trx,0.03287256,0.04814467,0.03287256,0.04814467
2018-02-12,0.04249768086803461,2794145701.452665,169372154.6784415,tron,trx,,,,
2018-02-13,0.04628253679694836,3042993137.557031,184672982.2231028,tron,trx,,,,
2018-02-14,0.04295382199563722,2824136156.1060443,151239234.99441135,tron,trx,,,,
2018-02-15,0.045920083145991615,3019162465.15066,145894481.42874292,tron,trx,0.04249768,0.04628254,0.04249768,0.04592008
2018-02-16,0.04677690382695285,3075496876.19906,158601725.0395692,tron,trx,,,,
2018-02-17,0.052054679633474404,3422501095.7661376,279186718.4433509,tron,trx,,,,
2018-02-18,0.05452501188733992,3584920976.2704883,181757540.9402886,tron,trx,,,,
2018-02-19,0.05002604517720842,3289122047.0741444,159098418.18517518,tron,trx,0.0467769,0.054525,0.0467769,0.050026
2018-02-20,0.051347351017133315,3375995517.755868,155485063.65198454,tron,trx,,,,
2018-02-21,0.04786855252482507,3147270804.901846,173284515.26102474,tron,trx,,,,
2018-02-22,0.04054764703832229,2665934501.883978,132992781.93332894,tron,trx,,,,
2018-02-23,0.04060046173866607,2669406972.96769,133221738.29761048,tron,trx,0.051347,0.051347,0.04054765,0.04060046
2018-02-24,0.04317951923862692,2838975341.879208,138429033.67660844,tron,trx,,,,
2018-02-25,0.04077271033020109,2680732006.5174823,171805586.65072787,tron,trx,,,,
2018-02-26,0.04034369936983986,2652525311.321767,164522062.7146986,tron,trx,,,,
2018-02-27,0.041732345232452665,2743826266.776447,174405113.56088892,tron,trx,0.04317952,0.04317952,0.0403437,0.04173235
2018-02-28,0.04280210694034157,2814161165.4491105,204312343.1203454,tron,trx,0.04280211,0.053408,0.04280211,0.053408
2018-03-01,0.04319221149731172,2839809834.9461594,281204549.1291561,tron,trx,,,,
2018-03-02,0.04771778730869686,3137358264.4533134,296679613.7032258,tron,trx,,,,
2018-03-03,0.05340764031494659,3511455815.062678,687333253.5569395,tron,trx,,,,
2018-03-04,0.04885955746058067,3212427588.16158,334505046.9217351,tron,trx,,,,
2018-03-05,0.04705098202047787,3093517022.020143,264425885.95851088,tron,trx,,,,
2018-03-06,0.046783619495873625,3075938419.2918615,208181102.04041636,tron,trx,,,,
2018-03-07,0.043931294129651986,2888403182.1121964,227821178.6194161,tron,trx,0.04885956,0.04885956,0.04393129,0.04393129
2018-03-08,0.039062482378477766,2568287609.9714518,244471702.96976867,tron,trx,,,,
